Date, Close, Open, High, Low, ZigZag Value, ZigZag Length, ZigZag Pips, ZigZag Deg, Volumes
2015.08.18 04:00, 1.10885, 1.10891, 1.10938, 1.10872, 1.10938, 39.00000, 42, 47.39, 224.00000
2015.08.18 11:35, 1.10246, 1.10271, 1.10275, 1.10170, 1.10170, 91.00000, -77, 40.16, 339.00000
2015.08.19 03:10, 1.10716, 1.10617, 1.10726, 1.10595, 1.10726, 187.00000, 56, 16.56, 225.00000
2015.08.19 08:30, 1.10288, 1.10633, 1.10754, 1.10219, 1.10754, 64.00000, 3, 2.51, 1104.00000
2015.08.19 08:35, 1.10228, 1.10291, 1.10318, 1.10176, 1.10176, 1.00000, -58, 89.01, 614.00000
2015.08.19 20:25, 1.11478, 1.11417, 1.11485, 1.11415, 1.11485, 142.00000, 131, 42.67, 152.00000
2015.08.20 03:50, 1.11118, 1.11123, 1.11128, 1.11070, 1.11070, 89.00000, -41, 25.00, 166.00000
2015.08.24 09:10, 1.16644, 1.16155, 1.17140, 1.16117, 1.17140, 633.00000, 607, 43.80, 2851.00000
2015.08.25 11:10, 1.14120, 1.14050, 1.14123, 1.13964, 1.13964, 312.00000, -318, 45.51, 327.00000
2015.08.25 20:00, 1.15462, 1.15537, 1.15610, 1.15378, 1.15610, 106.00000, 165, 57.22, 627.00000
2015.08.26 16:40, 1.13140, 1.12958, 1.13140, 1.12912, 1.12912, 248.00000, -270, 47.41, 336.00000
2015.08.27 02:05, 1.13535, 1.13503, 1.13640, 1.13503, 1.13640, 113.00000, 73, 32.79, 376.00000
2015.08.27 12:25, 1.12108, 1.12059, 1.12110, 1.12029, 1.12029, 124.00000, -161, 52.41, 232.00000
2015.08.28 04:05, 1.13084, 1.13010, 1.13097, 1.12959, 1.13097, 188.00000, 107, 29.60, 301.00000
2015.08.28 11:50, 1.11633, 1.11738, 1.11741, 1.11560, 1.11560, 93.00000, -154, 58.82, 556.00000
2015.08.31 01:10, 1.12593, 1.12575, 1.12623, 1.12570, 1.12623, 160.00000, 106, 33.60, 125.00000
2015.08.31 10:45, 1.11858, 1.11962, 1.11962, 1.11802, 1.11802, 115.00000, -82, 35.52, 326.00000
